0	课程名称	0	无	1	3	无	0
1	毛泽东思想和中国特色社会主义理论体系概论	3	星期一	1	3	思政类	4
2	习近平新时代中国特色社会主义思想概论	2	星期二	11	13	思政类	3
3	马克思主义基本原理	3	星期三	8	10	思政类	1
4	思想道德与法治	3	星期一	6	8	思政类	0
5	中国近现代史纲要	3	星期一	11	13	思政类	0
6	大学英语I	3	星期三	11	13	英语类	0
7	学术英语写作A	2	星期二	3	4	英语类	0
8	学术英语写作B	2	星期五	1	2	英语类	0
9	通用学术英语听说A	2	星期一	3	4	英语类	0
10	通用学术英语读写A	2	星期二	1	2	英语类	9
11	通用学术英语听说B	2	星期三	3	4	英语类	0
12	通用学术英语读写B	2	星期四	1	2	英语类	11
13	学术英语写作（高级）A	2	星期二	1	2	英语类	10
14	学术英语写作（高级）B	2	星期五	1	2	英语类	12
15	大学英语II	3	星期一	6	8	英语类	6
16	体育与健康--乒乓球（初）	1	星期一	3	4	体育类	0
17	体育与健康--乒乓球（中）	1	星期一	6	7	体育类	16
18	体育与健康--足球（中）	1	星期三	3	4	体育类	23
19	体育与健康--流行舞（初）	1	星期二	3	4	体育类	0
20	体育与健康--流行舞（中）	1	星期四	3	4	体育类	19
21	体育与健康--羽毛球（中）	1	星期五	6	7	体育类	22
22	体育与健康--羽毛球（初）	1	星期一	3	4	体育类	0
23	体育与健康--足球（初）	1	星期四	8	9	体育类	0
24	体育与健康--排球（初）	1	星期三	3	4	体育类	0
25	体育与健康--形体礼仪训练（初）	1	星期四	8	9	体育类	0
26	体育与健康--篮球（初）	1	星期五	6	7	体育类	0
27	体育与健康--网球（初）	1	星期五	3	4	体育类	0
28	体育与健康--瑜伽（初）	1	星期四	3	4	体育类	0
29	体育与健康--形体礼仪训练（中）	1	星期一	6	7	体育类	25
30	体育与健康--形体礼仪训练（高）	1	星期二	3	4	体育类	29
31	体育与健康--健身气功（初）	1	星期二	8	9	体育类	0
32	体育与健康--八段锦	1	星期二	3	4	体育类	0
33	体育保健	1	星期二	11	12	体育类	0
34	军事理论（含军训）	2	星期五	6	7	军事理论	0
35	图形印篆刻艺术制作	2	星期一	11	13	劳动与创造	0
36	留青竹刻工艺制作	2	星期一	11	13	劳动与创造	0
37	劳作中的丝缕之美	2	星期三	11	14	劳动与创造	0
38	旧物改造	2	星期五	6	9	劳动与创造	0
39	创新思维训练	2	星期三	11	13	劳动与创造	0
40	创新创业进阶实训	2	星期五	6	8	劳动与创造	0
41	劳动与美好生活	2	星期四	6	8	劳动与创造	0
42	凯恩斯《通论》导读	2	星期五	6	8	伟大的智慧	0
43	鲁迅与当代中国	2	星期四	6	8	伟大的智慧	0
44	《左传》导读	2	星期四	3	5	伟大的智慧	0
45	国学经典研读	2	星期五	9	10	伟大的智慧	0
46	中国近代教育名著选读	2	星期一	11	13	伟大的智慧	0
47	西方教育经典导读	2	星期一	11	13	伟大的智慧	0
48	莎士比亚选读	2	星期三	11	13	伟大的智慧	0
49	《伟大的中国革命》导读	2	星期五	6	8	伟大的智慧	0
50	现代语言学经典选读	2	星期五	11	13	伟大的智慧	0
51	中国美学原典精读	2	星期二	11	12	伟大的智慧	0
52	20世纪西方美学经典论著导读	2	星期四	6	7	伟大的智慧	0
53	《历史与阶级意识》导读	2	星期一	11	12	伟大的智慧	0
54	《新教伦理与资本主义精神》导读	2	星期二	1	2	伟大的智慧	0
55	改变人类生活的化学盛宴-诺贝尔化学奖的成果与启迪	2	星期三	11	13	理性、科学与发展	0
56	国家安全与国际战略	2	星期三	11	13	理性、科学与发展	0
57	感知觉与人类自我认识	1	星期五	6	7	理性、科学与发展	0
58	人工智能基础	2	星期五	6	7	实践、技术与创新	0
59	网络安全基础与工程实践	2	星期三	11	13	实践、技术与创新	0
60	人工智能与艺术设计	2	星期五	6	9	实践、技术与创新	0
61	电影中的思想世界	2	星期五	6	9	思辨、推理与判断	0
62	电影中的苏联史	2	星期五	2	4	思辨、推理与判断	0
63	逻辑·推理·证明	3	星期一	11	13	思辨、推理与判断	0
64	数据时代的理性思维	2	星期五	6	7	思辨、推理与判断	0
65	城市发展与治理	2	星期三	11	13	思辨、推理与判断	0
66	秦汉艺术与文明	2	星期一	11	13	文化、审美与诠释	0
67	中国古代物质文化与审美风尚	2	星期一	11	13	文化、审美与诠释	0
68	中国古典建筑赏析	2	星期三	11	14	文化、审美与诠释	0
69	艺术经典专题赏析	2	星期五	6	7	文化、审美与诠释	0
70	中国传统生活美学——香文化鉴赏与实践	2	星期三	11	14	文化、审美与诠释	0
71	摄影艺术赏析	2	星期五	6	9	文化、审美与诠释	0
72	美的设计	2	星期三	6	7	文化、审美与诠释	0
73	德国美学理论及艺术作品欣赏	2	星期三	11	13	文化、审美与诠释	0
74	世界地理概论	2	星期五	6	8	文化、审美与诠释	0
75	世界地理概论	2	星期一	11	13	文化、审美与诠释	0
76	中外音乐剧鉴赏	2	星期三	11	13	文化、审美与诠释	0
77	艺术哲学与社会批判	2	星期五	6	8	文化、审美与诠释	0
78	国际组织与全球社会发展	2	星期五	6	8	价值、社会与进步	0
79	社会问题案例分析	2	星期一	11	13	价值、社会与进步	0
80	全球化：历史、现在和未来	2	星期五	6	8	价值、社会与进步	0
81	城市化与城市问题	2	星期五	6	7	价值、社会与进步	0
82	世界政治经济地理	2	星期一	11	13	价值、社会与进步	0
83	现代人口学	2	星期二	11	12	价值、社会与进步	0
84	婚姻、家庭与法律	2	星期五	6	8	价值、社会与进步	0
85	人才学基础与青年成才	2	星期三	11	13	价值、社会与进步	0
86	教育与自我发展	2	星期五	6	8	伦理、教育与沟通	0
87	中西教育传统比较研究工作坊	2	星期一	11	14	伦理、教育与沟通	0
88	教学的道德与道德的教学	2	星期三	11	13	伦理、教育与沟通	0
89	学府学人学术：历史与当下的大学	2	星期三	11	13	伦理、教育与沟通	0
90	儿童哲学	2	星期五	8	10	伦理、教育与沟通	0
91	跨文化沟通心理学	2	星期一	11	12	伦理、教育与沟通	0
92	情绪管理与人格塑造	2	星期二	11	14	伦理、教育与沟通	0
93	人工智能与药物发现	2	星期四	11	13	分布式	0
94	网络环境下社科文献信息的检索和利用	1	星期四	6	7	分布式	0
95	非线性科学与计算机实验	3	星期三	11	14	分布式	0
96	数学与思维	2	星期五	6	8	分布式	0
97	信息素养系列讲座	1	星期三	8	9	分布式	0
98	中国文化通论	2	星期四	8	9	分布式	0
99	大学语文	2	星期五	6	7	分布式	0
100	行为金融与投资心理	2	星期五	6	8	分布式	0
101	大学与学生发展	1	星期一	11	13	分布式	0
102	欧美教育传统与当代变革	1	星期三	11	13	分布式	0
103	大数据与人文社科	2	星期一	11	13	分布式	0
